state,week,population_100k,ed_visit_rate,naloxone_admin_rate,subprogram_type,copresent_subrate
PA,23,51.1,17.97,42.9,clinic,6.22
PA,24,77.2,16.55,44.05,clinic,6.35
PA,25,81.2,16.43,32.27,clinic,4.57
PA,26,51.7,17.36,,clinic,3.54
PA,27,72.6,16.12,,clinic,4.76
PA,28,76.1,16.35,,clinic,6.91
PA,29,76.3,17.24,43.28,clinic,5.47
PA,30,55.7,15.78,42.78,clinic,7.35
PA,31,61.7,16.27,49.93,clinic,5.5
PA,32,45.3,15.28,40.38,clinic,7.16
PA,33,64.2,16.98,26.82,clinic,8.26
PA,34,55.3,15.12,37.8,clinic,6.93
PA,35,68.6,15.38,39.42,clinic,3.12
PA,36,78.7,14.37,,clinic,3.09
PA,37,53.2,17.09,,clinic,7.13
PA,38,41.9,16.67,,clinic,6.03
PA,39,82.9,15.97,,clinic,5.22
PA,40,58.3,16.31,,clinic,4.69
PA,41,80.5,15.12,34.45,clinic,4.39
PA,42,53.9,,41.45,clinic,7.15
PA,43,45.4,14.82,26.79,clinic,7.23
PA,44,64.8,15.29,36.07,clinic,4.23
PA,45,55.7,16.32,49.3,clinic,6.66
PA,46,51.6,14.94,40.49,clinic,4.77
PA,47,43.0,18.18,31.13,clinic,9.02
PA,48,57.1,15.24,30.38,clinic,4.73
PA,49,40.2,,46.74,clinic,7.43
PA,50,64.5,14.8,39.03,clinic,3.89
PA,51,63.8,15.73,28.36,clinic,4.35
PA,52,75.5,18.56,45.89,clinic,7.36
TX,1,53.4,10.02,16.24,clinic,3.55
TX,2,55.1,11.6,28.15,clinic,3.1
TX,3,36.8,10.74,26.16,clinic,2.9
TX,4,29.2,11.54,16.12,clinic,4.89
TX,5,29.5,11.91,31.81,clinic,3.03
TX,6,64.5,11.99,17.5,clinic,3.36
TX,7,29.5,12.26,29.15,clinic,4.85
TX,8,50.7,11.33,33.74,clinic,4.75
TX,9,67.7,13.42,25.85,clinic,5.98
TX,10,67.9,13.37,28.57,clinic,3.65
TX,11,41.2,12.66,23.58,clinic,5.41
TX,12,64.5,12.54,,clinic,5.8
TX,13,38.8,14.32,,clinic,4.8
TX,14,59.7,13.98,,clinic,6.14
TX,15,43.8,12.78,,clinic,5.18
TX,16,45.1,13.95,,clinic,4.39
TX,17,33.9,13.27,24.29,clinic,6.16
TX,18,27.9,13.81,38.49,clinic,2.93
TX,19,62.1,13.05,27.39,clinic,3.53
TX,20,41.2,12.87,32.12,clinic,5.37
TX,21,34.3,13.86,29.96,clinic,6.66
TX,22,64.8,12.89,38.6,clinic,5.51
TX,23,39.4,10.88,15.94,clinic,4.94
TX,24,28.6,12.99,26.13,clinic,3.2
TX,25,67.7,12.85,34.78,clinic,6.32
TX,26,43.4,11.09,14.85,clinic,3.56
TX,27,31.2,11.0,30.31,clinic,4.48
TX,28,40.7,11.27,20.26,clinic,4.77
TX,29,55.3,10.42,28.53,clinic,2.39
TX,30,31.8,10.75,30.24,clinic,3.26
TX,31,36.0,12.39,29.39,clinic,2.7
TX,32,29.4,10.49,16.35,clinic,4.51
TX,33,45.1,10.65,20.0,clinic,3.09
TX,34,67.2,10.3,26.99,clinic,2.57
TX,35,40.6,9.66,21.6,clinic,4.62
TX,36,63.1,9.85,18.93,clinic,2.69
TX,37,52.8,10.24,16.64,clinic,2.66
TX,38,62.6,9.71,20.18,clinic,3.58
TX,39,28.4,7.94,18.06,clinic,3.87
TX,40,50.7,9.04,15.52,clinic,2.45
TX,41,71.1,9.83,,clinic,3.45
TX,42,42.3,10.04,,clinic,2.6
TX,43,65.5,9.65,,clinic,3.7
TX,44,31.9,10.59,,clinic,4.7
TX,45,67.3,9.25,14.89,clinic,2.93
TX,46,40.3,10.16,21.68,clinic,2.73
TX,47,59.4,11.34,22.13,clinic,3.35
TX,48,60.0,10.11,27.57,clinic,2.34
TX,49,50.1,10.82,16.68,clinic,5.11
TX,50,50.6,12.43,22.87,clinic,5.31
TX,51,69.9,10.88,27.99,clinic,3.13
TX,52,50.9,10.79,22.76,clinic,2.19
WA,1,62.0,14.08,39.65,clinic,5.31
WA,2,44.1,15.83,26.22,clinic,6.18
WA,3,58.1,15.37,37.86,clinic,4.07
WA,4,75.0,13.4,34.58,clinic,3.37
WA,5,76.2,,29.78,clinic,3.99
WA,6,55.5,16.29,25.75,clinic,6.5
WA,7,69.2,13.84,31.7,clinic,5.92
WA,8,61.5,16.65,46.73,clinic,4.93
WA,9,61.3,15.18,24.33,clinic,3.12
WA,10,60.0,15.52,36.55,clinic,5.15
WA,11,65.6,14.57,26.11,clinic,6.67
WA,12,78.7,,48.54,clinic,5.22
WA,13,68.8,15.8,41.61,clinic,7.04
WA,14,71.3,16.36,38.13,clinic,3.9
WA,15,35.3,14.58,38.09,clinic,6.77
WA,16,76.3,16.33,43.44,clinic,5.66
WA,17,36.4,16.05,47.66,clinic,5.04
WA,18,62.2,15.39,36.42,clinic,3.76
WA,19,41.0,16.05,,clinic,6.28
WA,20,40.4,15.08,,clinic,4.91
WA,21,75.4,14.99,35.97,clinic,5.8
WA,22,61.1,15.5,29.14,clinic,6.82
WA,23,43.1,15.41,32.49,clinic,5.21
WA,24,68.6,14.49,45.28,clinic,3.52
WA,25,78.7,14.55,35.48,clinic,5.21
WA,26,64.0,14.21,22.02,clinic,3.31
WA,27,65.9,14.83,41.08,clinic,5.31
WA,28,38.2,15.17,39.12,clinic,4.37
WA,29,39.4,13.25,32.97,clinic,6.12
WA,30,77.8,13.78,31.2,clinic,4.31
WA,31,41.0,14.31,29.49,clinic,6.92
WA,32,45.5,14.77,35.35,clinic,6.19
WA,33,47.7,13.56,36.69,clinic,2.73
WA,34,36.1,14.25,35.38,clinic,6.54
WA,35,64.8,14.16,23.54,clinic,6.9
WA,36,69.3,12.65,22.12,clinic,6.28
WA,37,40.8,15.79,43.65,clinic,5.55
WA,38,76.3,12.1,27.89,clinic,5.15
WA,39,35.9,14.88,25.8,clinic,6.76
WA,40,48.0,12.87,33.01,clinic,3.81
WA,41,63.2,14.57,23.46,clinic,3.06
WA,42,59.4,13.35,34.83,clinic,5.21
WA,43,62.8,13.32,30.56,clinic,4.52
WA,44,47.7,13.97,21.96,clinic,4.41
WA,45,65.0,13.35,36.47,clinic,2.94
WA,46,42.5,13.73,27.38,clinic,4.59
WA,47,35.8,14.01,30.1,clinic,5.37
WA,48,72.5,13.36,29.02,clinic,6.22
WA,49,56.2,13.78,24.02,clinic,2.89
WA,50,65.0,14.65,29.73,clinic,4.29
WA,51,35.8,15.72,37.62,clinic,6.39
WA,52,79.4,14.24,18.51,clinic,3.03
WV,1,51.7,,,pharmacy,2.67
WV,2,39.3,,,pharmacy,1.6
WV,3,45.8,9.66,,pharmacy,4.7
WV,4,50.2,,17.19,pharmacy,4.29
WV,5,53.4,11.27,19.57,pharmacy,5.5
WV,6,56.3,8.73,22.46,pharmacy,3.85
WV,7,44.2,9.59,25.74,pharmacy,3.79
WV,8,24.2,,,pharmacy,3.6
WV,9,44.4,,,pharmacy,2.75
WV,10,32.9,10.37,24.73,pharmacy,4.97
WV,11,23.7,9.53,25.68,pharmacy,2.13
WV,12,38.1,,25.06,pharmacy,5.69
WV,13,57.5,9.55,24.65,pharmacy,2.51
WV,14,40.3,,22.12,pharmacy,3.99
WV,15,55.5,11.32,28.99,pharmacy,4.7
WV,16,51.3,10.32,19.34,pharmacy,2.64
WV,17,41.8,11.01,18.45,pharmacy,2.9
WV,18,53.9,11.37,16.92,pharmacy,4.66
WV,19,24.9,8.88,17.3,pharmacy,3.83
WV,20,21.8,8.27,15.51,pharmacy,1.71
WV,21,46.4,9.85,23.18,pharmacy,3.6
WV,22,64.0,,19.25,pharmacy,3.17
WV,23,57.6,11.68,26.53,pharmacy,2.85
WV,24,52.7,8.82,26.27,pharmacy,1.88
WV,25,62.0,,10.95,pharmacy,1.99
WV,26,55.8,7.75,12.7,pharmacy,3.77
WV,27,29.1,,10.51,pharmacy,1.41
WV,28,58.8,7.82,26.76,pharmacy,3.59
WV,29,35.6,6.45,17.39,pharmacy,3.2
WV,30,60.8,8.03,16.84,pharmacy,3.38
WV,31,45.4,4.26,14.49,pharmacy,1.7
WV,32,59.8,,17.29,pharmacy,1.87
WV,33,21.8,4.37,11.04,pharmacy,1.32
WV,34,55.9,5.38,7.6,pharmacy,2.29
WV,35,41.0,4.03,13.15,pharmacy,0.93
WV,36,63.5,,15.61,pharmacy,1.21
WV,37,29.4,3.98,11.05,pharmacy,1.46
WV,38,43.5,3.94,7.43,pharmacy,0.96
WV,39,28.9,,9.31,pharmacy,2.15
WV,40,26.6,3.87,10.62,pharmacy,1.66
WV,41,42.3,4.3,12.44,pharmacy,2.06
WV,42,35.6,,8.56,pharmacy,2.41
WV,43,34.1,3.58,10.03,pharmacy,0.98
WV,44,46.2,5.29,12.16,pharmacy,2.36
WV,45,41.4,,9.81,pharmacy,2.62
WV,46,35.2,,9.41,pharmacy,0.95
WV,47,56.2,,13.44,pharmacy,2.1
WV,48,53.4,,12.26,pharmacy,3.76
WV,49,55.9,,12.43,pharmacy,3.31
WV,50,37.4,7.16,16.21,pharmacy,2.47
WV,51,38.7,,17.6,pharmacy,3.01
WV,52,56.9,,16.59,pharmacy,1.89
